date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:12	91/91	---MCZ	200	added ('OK')	text/plain	etag:W/%224b-lV6kFzDRTyqVHIEBVNyyIqj7LSo%22	https://venom.foundation/robots.txt		(from )
14:43:14	744296/744296	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2009:43:13%20GMT	https://venom.foundation/	D:/megapayer/venom.foundation/index.html	(from )
14:43:14	10975/10975	---M--	200	added ('OK')	image/png	etag:%222adf-arxH9OA2QyUYLGzX9WmF88Bbrkw%22	https://venom.foundation/apple-touch-icon.png	D:/megapayer/venom.foundation/apple-touch-icon.png	(from https://venom.foundation/)
14:43:14	1469/1469	---M--	200	added ('OK')	image/png	etag:%225bd-O/ox+6avh3ekAKzKIzpySF1oct0%22	https://venom.foundation/favicon-32x32.jpg	D:/megapayer/venom.foundation/favicon-32x32.jpg	(from https://venom.foundation/)
14:43:15	1259/1259	---M--	200	added ('OK')	image/png	etag:%224eb-cC5Cgj8ZdE1qNjqqgNoAufhhbm4%22	https://venom.foundation/favicon-16x16.jpg	D:/megapayer/venom.foundation/favicon-16x16.jpg	(from https://venom.foundation/)
14:43:15	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%223aee-6iSHYTfZbOrjekE9uzfN7Anl6Ag%22	https://venom.foundation/cdn-cgi/assets/favicon.png	D:/megapayer/venom.foundation/cdn-cgi/assets/favicon.png	(from https://venom.foundation/)
14:43:16	185272/185272	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c702-6u1swWgL3OZW5CSfriCyr22oUMM%22	https://venom.foundation/_nuxt/entry.56bd59df.js	D:/megapayer/venom.foundation/_nuxt/entry.56bd59df.js	(from https://venom.foundation/)
14:43:16	55137/55137	---MCZ	200	added ('OK')	text/css	etag:W/%221beb-gk2js0uy3QZRa3neWlt2VhDZqS4%22	https://venom.foundation/_nuxt/entry.1754c96a.css	D:/megapayer/venom.foundation/_nuxt/entry.1754c96a.css	(from https://venom.foundation/)
14:43:16	68468/68468	---MCZ	200	added ('OK')	application/javascript	etag:W/%226068-LD9aZ5XXU61DtipEnl1VygLxN60%22	https://venom.foundation/_nuxt/runtime-core.esm-bundler.c6ef7338.js	D:/megapayer/venom.foundation/_nuxt/runtime-core.esm-bundler.c6ef7338.js	(from https://venom.foundation/)
14:43:17	13866/13866	---MCZ	200	added ('OK')	application/javascript	etag:W/%22132a-rMwuQuodHb/426iH4wqyCU63lBg%22	https://venom.foundation/_nuxt/app.config.6d839814.js	D:/megapayer/venom.foundation/_nuxt/app.config.6d839814.js	(from https://venom.foundation/)
14:43:17	7643/7643	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c-FZ69woDz4St1yoGDFTbjfSlMY7c%22	https://venom.foundation/_nuxt/KitIcon.vue.03c7151b.js	D:/megapayer/venom.foundation/_nuxt/KitIcon.vue.03c7151b.js	(from https://venom.foundation/)
14:43:17	1401/1401	---MCZ	200	added ('OK')	text/css	etag:W/%2215e-umX0tXANJ3s2TSgndDMytgjSqhg%22	https://venom.foundation/_nuxt/KitIcon.2854a112.css	D:/megapayer/venom.foundation/_nuxt/KitIcon.2854a112.css	(from https://venom.foundation/)
14:43:18	115/115	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273-V9ikUbNULudmEYzRa1aMH7T7fRY%22	https://venom.foundation/_nuxt/KitIcon.20e66951.js	D:/megapayer/venom.foundation/_nuxt/KitIcon.20e66951.js	(from https://venom.foundation/)
14:43:18	2528/2528	---MCZ	200	added ('OK')	application/javascript	etag:W/%22405-MuM6uHcIYTOc55t32wSL9CUhDCM%22	https://venom.foundation/_nuxt/index.19de887d.js	D:/megapayer/venom.foundation/_nuxt/index.19de887d.js	(from https://venom.foundation/)
14:43:19	1266/1266	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227e-cETDdxF6MFbHTOMkTOPRe+rJdvY%22	https://venom.foundation/_nuxt/BodyComponent.80fb22d0.js	D:/megapayer/venom.foundation/_nuxt/BodyComponent.80fb22d0.js	(from https://venom.foundation/)
14:43:19	81319/81319	---MCZ	200	added ('OK')	text/css	etag:W/%2218f1-V7X5Z2dQPDYMBqppuZU3iN3ktZU%22	https://venom.foundation/_nuxt/BodyComponent.747932bf.css	D:/megapayer/venom.foundation/_nuxt/BodyComponent.747932bf.css	(from https://venom.foundation/)
14:43:19	1117/1117	---MCZ	200	added ('OK')	application/javascript	etag:W/%22246-g162M8sCQYlH+ddBnhsjeQhuAuw%22	https://venom.foundation/_nuxt/KitButton.636249c9.js	D:/megapayer/venom.foundation/_nuxt/KitButton.636249c9.js	(from https://venom.foundation/)
14:43:20	1052/1052	---MCZ	200	added ('OK')	application/javascript	etag:W/%22232-mmmgvEbXIsy8W2HWPTospb8Qb/4%22	https://venom.foundation/_nuxt/BricksComponent.6dfc400c.js	D:/megapayer/venom.foundation/_nuxt/BricksComponent.6dfc400c.js	(from https://venom.foundation/)
14:43:20	2529/2529	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a5-bY9jPi90pwvNA8w9aUmRerfmHf4%22	https://venom.foundation/_nuxt/BrickItem.b9863bba.js	D:/megapayer/venom.foundation/_nuxt/BrickItem.b9863bba.js	(from https://venom.foundation/)
14:43:21	494/494	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ee-shpoI0SrlFZZryjM1Y+nomF4/Wo%22	https://venom.foundation/_nuxt/KitDivLink.vue.efa0fea7.js	D:/megapayer/venom.foundation/_nuxt/KitDivLink.vue.efa0fea7.js	(from https://venom.foundation/)
14:43:21	2230/2230	---MCZ	200	added ('OK')	application/javascript	etag:W/%22216-b8oSwrLHyfw8RZKF0wM7NembRlM%22	https://venom.foundation/_nuxt/useAsset.9ba7393b.js	D:/megapayer/venom.foundation/_nuxt/useAsset.9ba7393b.js	(from https://venom.foundation/)
14:43:21	1167/1167	---MCZ	200	added ('OK')	application/javascript	etag:W/%22253-HtSFyTOTRHIcbPPSLBsY7wtJTmc%22	https://venom.foundation/_nuxt/VenomWallet.640be2c6.js	D:/megapayer/venom.foundation/_nuxt/VenomWallet.640be2c6.js	(from https://venom.foundation/)
14:43:22	5135/5135	---MCZ	200	added ('OK')	text/css	etag:W/%222e4-uNuZJ1APj6ln9kgzTilJWy9owBM%22	https://venom.foundation/_nuxt/ItemComponent.c352bd0d.css	D:/megapayer/venom.foundation/_nuxt/ItemComponent.c352bd0d.css	(from https://venom.foundation/)
14:43:22	793/793	---MCZ	200	added ('OK')	application/javascript	etag:W/%22319-WFlRiD5mX8LQDwTBv+O5qROszdo%22	https://venom.foundation/_nuxt/KitReadMore.7a80b1fd.js	D:/megapayer/venom.foundation/_nuxt/KitReadMore.7a80b1fd.js	(from https://venom.foundation/)
14:43:22	1217/1217	---MCZ	200	added ('OK')	application/javascript	etag:W/%22265-wfwhugp7w5sowmAe4OqrBwhvG8w%22	https://venom.foundation/_nuxt/PlatformItem.3ae9e2fb.js	D:/megapayer/venom.foundation/_nuxt/PlatformItem.3ae9e2fb.js	(from https://venom.foundation/)
14:43:23	1038/1038	---MCZ	200	added ('OK')	application/javascript	etag:W/%2220e-lfYyNB3sfscATvkweG9yDtvPCR0%22	https://venom.foundation/_nuxt/BoundariesBlock.fb125849.js	D:/megapayer/venom.foundation/_nuxt/BoundariesBlock.fb125849.js	(from https://venom.foundation/)
14:43:23	1528/1528	---MCZ	200	added ('OK')	application/javascript	etag:W/%222de-UJOWw+X+Mxn8nUmIsSFwLlwfzHs%22	https://venom.foundation/_nuxt/BoundariesItem.b71f90dd.js	D:/megapayer/venom.foundation/_nuxt/BoundariesItem.b71f90dd.js	(from https://venom.foundation/)
14:43:23	1167/1167	---MCZ	200	added ('OK')	application/javascript	etag:W/%22242-m2caZ/L30yTBOuGKw9MueUZDbIM%22	https://venom.foundation/_nuxt/EcosystemBlock.88092846.js	D:/megapayer/venom.foundation/_nuxt/EcosystemBlock.88092846.js	(from https://venom.foundation/)
14:43:24	977/977	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d1-5dgKx4lZMkxUyIMX8PTtLJy9bw8%22	https://venom.foundation/_nuxt/ItemsGallery.1bd158f0.js	D:/megapayer/venom.foundation/_nuxt/ItemsGallery.1bd158f0.js	(from https://venom.foundation/)
14:43:24	1241/1241	---MCZ	200	added ('OK')	application/javascript	etag:W/%22277-veTx41ZBeBPyNduommdrtt7Oz1I%22	https://venom.foundation/_nuxt/ItemComponent.b239472c.js	D:/megapayer/venom.foundation/_nuxt/ItemComponent.b239472c.js	(from https://venom.foundation/)
14:43:24	8284/8284	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a5b-mDJz9RdhNSQ4rtvXKL2VrEmjepo%22	https://venom.foundation/_nuxt/KitSwiper.677d3992.js	D:/megapayer/venom.foundation/_nuxt/KitSwiper.677d3992.js	(from https://venom.foundation/)
14:43:25	1009/1009	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f1-GbgIxFiU844zBha7u0KxE7+FL7o%22	https://venom.foundation/_nuxt/OpportunityComponent.50934eb3.js	D:/megapayer/venom.foundation/_nuxt/OpportunityComponent.50934eb3.js	(from https://venom.foundation/)
14:43:25	5176/5176	---MCZ	200	added ('OK')	application/javascript	etag:W/%22715-qrTzm84lUOBDJoPqs0ibMPeugr0%22	https://venom.foundation/_nuxt/DevelopersBlock.7c1a79d4.js	D:/megapayer/venom.foundation/_nuxt/DevelopersBlock.7c1a79d4.js	(from https://venom.foundation/)
14:43:25	1368/1368	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a0-zuA+0stfrdeBdXQ8dUDGsHUPUhw%22	https://venom.foundation/_nuxt/WindowComponent.07af7dc6.js	D:/megapayer/venom.foundation/_nuxt/WindowComponent.07af7dc6.js	(from https://venom.foundation/)
14:43:26	1038/1038	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222a-8Qy2TAJW4rOFwqbfk6jZ2qgFWsw%22	https://venom.foundation/_nuxt/MobileGallery.242c9cf2.js	D:/megapayer/venom.foundation/_nuxt/MobileGallery.242c9cf2.js	(from https://venom.foundation/)
14:43:26	5387/5387	---MCZ	200	added ('OK')	application/javascript	etag:W/%2272a-iEoW+26fuboineAzoJnocj0oZgQ%22	https://venom.foundation/_nuxt/UseCasesBlock.dcb0b8eb.js	D:/megapayer/venom.foundation/_nuxt/UseCasesBlock.dcb0b8eb.js	(from https://venom.foundation/)
14:43:26	1321/1321	---MCZ	200	added ('OK')	application/javascript	etag:W/%22295-c7utj6PD+sNqL8XQvSkXKIQCCqI%22	https://venom.foundation/_nuxt/ExploreGrantsBlock.5737af4b.js	D:/megapayer/venom.foundation/_nuxt/ExploreGrantsBlock.5737af4b.js	(from https://venom.foundation/)
